Framework,Control ID,Control Title,Control Description,Current State (None / Partial / Compliant),Gap Description,WALLIX Control,Evidence Generated by Bastion,Implementation Status (Not Started / In Progress / Complete),Target Date,Owner,Notes
IEC 62443,SR 1.1,Human user identification and authentication,All human users must be uniquely identified and authenticated before access,None,No individual authentication — shared accounts in use,Individual user accounts mapped from AD / LDAP,LDAP integration logs; session attribution records,Not Started,,IT Manager,
IEC 62443,SR 1.2,Software process and device identification,Automated processes and devices must be identified,Partial,Service accounts not catalogued,Service account management in credential vault,Vault account inventory export,Not Started,,IT Manager,
IEC 62443,SR 1.3,Account management,Lifecycle management for all accounts (create / modify / disable / delete),None,No centralised account lifecycle process,Centralised account management in Bastion; AD integration for disable propagation,Account change audit log,Not Started,,IT Manager,
IEC 62443,SR 1.5,Authenticator management,Management of authenticators (passwords / tokens / certificates),None,No MFA; passwords never rotated,FortiAuthenticator MFA + credential vault rotation,MFA enrollment log; rotation history,Not Started,,IT Manager,
IEC 62443,SR 2.8,Auditable events,Generate audit records for security-relevant events,None,No structured audit trail,Full session recording + structured audit log,Session recording archive; syslog to SIEM,Not Started,,CISO,
IEC 62443,SR 2.9,Audit storage capacity,Protect audit records against loss or unauthorised modification,None,Logs overwritten after 30 days,Session recording with configurable retention; SIEM archival,Retention policy configuration; SIEM receipt confirmation,Not Started,,IT Manager,
IEC 62443,SR 2.12,Non-repudiation,Users cannot deny having performed an action,None,Shared accounts — individual attribution impossible,Session recording bound to authenticated user identity,Signed session recording metadata,Not Started,,CISO,
IEC 62443,SR 3.8,Session integrity,Protect session integrity against hijacking or eavesdropping,Partial,Some sessions use unencrypted protocols (Telnet),TLS 1.3 for Bastion connections; SSH for target sessions,Protocol configuration audit,Not Started,,IT Manager,
IEC 62443,SR 5.2,Zone boundary protection,Control communications at zone boundaries,None,No single control point — direct IT-to-OT access,Bastion as sole ingress to OT — firewall rules enforce this,Firewall rule documentation; network diagram,Not Started,,Network Team,
NIS2,Art. 21(2)(a),Risk analysis and security policies,Policies for information system security based on risk analysis,None,No privileged access risk analysis documented,PAM deployment based on documented risk assessment,Risk matrix (this engagement); security policy document,Not Started,,CISO,
NIS2,Art. 21(2)(b),Incident handling,Procedures for handling security incidents,Partial,No privileged access forensics capability,Session recordings enable rapid forensic reconstruction,Session recording archive with search capability,Not Started,,CISO,
NIS2,Art. 21(2)(i),Multi-factor authentication,MFA required for access to network and information systems,None,No MFA on any privileged access,FortiAuthenticator TOTP MFA at Bastion,MFA enforcement configuration; authentication logs,Not Started,,CISO,
NIS2,Art. 21(2)(j),Secure communications,Encrypted communications for all privileged access,Partial,Telnet and HTTP in use,TLS 1.3 on Bastion sessions; migration plan for Telnet targets,Protocol audit report,Not Started,,IT Manager,
GDPR,Art. 32,Technical and organisational measures,Appropriate technical measures to ensure data security including access control,Partial,No MFA; no session recording; no privilege monitoring,Full PAM stack: MFA + recording + vault + RBAC,Compliance evidence package; DPIA update,Not Started,,DPO / CISO,
PCI-DSS,Req. 7,Restrict access to cardholder data by business need,Role-based access control for all systems in scope,Partial,Generic accounts used; no RBAC,WALLIX RBAC with authorisation profiles per user role,RBAC configuration export; user access review report,Not Started,,IT Manager,
PCI-DSS,Req. 8.4.2,MFA for all non-console admin access into CDE,MFA mandatory for all administrative access to cardholder data environment,None,No MFA currently deployed,FortiAuthenticator TOTP MFA at Bastion for CDE targets,MFA enforcement configuration; QSA evidence package,Not Started,,CISO,
PCI-DSS,Req. 10,Log and monitor all access to network resources,Logging and monitoring of all privileged access,None,No centralised log collection for privileged sessions,Session recording + SIEM integration + automated alerts,SIEM logs; session recording archive; alert policy documentation,Not Started,,SecOps,
ISO 27001,A.8.2,Privileged access rights,Allocation and use of privileged access rights controlled and restricted,Partial,No formal privilege management process,WALLIX RBAC + JIT access + approval workflows,Access review reports; JIT approval audit trail,Not Started,,IT Manager,
ISO 27001,A.8.5,Secure authentication,Secure authentication policies and procedures,None,Password-only authentication; no MFA,MFA enforced at Bastion for all privileged access,Authentication configuration; FortiAuthenticator enrollment log,Not Started,,CISO,
